Nombre,Dirección,lat,lon,coord_source,dist_plaza_grande_km,existe_gmaps,estrellas_num,Cantidad de Reseñas,log1p_resenas,Tiene IG,Seguidores IG,log1p_seguidores_ig,Tiene TikTok,Seguidores TT,log1p_seguidores_tt,Likes TT,Tipo Restaurante,tipo_restaurante_ui,Franquicia,franquicia_bin,marca_id,cuenta_social_duplicada,AÑO REGISTRO,CATEGORÍA,Instagram,URL IG,TikTok,URL Tik Tok
 ALISVA KIMBERLY ,"JUAN DE DIOS MORALES OE1-65 AV. PEDRO VICENTE MALDONADO, Quito, Ecuador",-0.226330218,-78.5134426,respaldo_R_S,0.6567086436457558,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0, ALISVA KIMBERLY __0,FALSE,2008,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
 DON POLLO JL"","OLMEDO E IMABURA, Quito, Ecuador",-0.216119142,-78.51400016,primaria_C_D,0.5148981204224526,TRUE,4.3,36,3.6109179126442243,1,250,5.5254529391317835,0,0,0,0,Fast Food,Fast Food,Franquicia,1, DON POLLO JL"",FALSE,2016,SEGUNDA / 3 TENEDORES,donpollouio,https://www.instagram.com/donpollouio/,No tiene,0
 LA CAVA NOCHE,"Chile 269 Guayaquil, Quito, Ecuador",-0.226301308,-78.51267682,primaria_C_D,0.6453755778984874,TRUE,5,1,0.6931471805599453,1,555,6.320768294250582,0,0,0,0,Bar,Bar,No posee,0, LA CAVA NOCHE__2,FALSE,2012,SEGUNDA / 3 TENEDORES,lacavabarecuador,https://www.instagram.com/lacavabarecuador/,No tiene,0
 LA ESQUINA ZARUMEÑA ,"JUNIN E2-27 LUIS ALFONSO ORTIZ BILBAO, Quito, Ecuador",-0.223477312,-78.50928424,respaldo_R_S,0.48729955711542167,FALSE,,0,0,0,0,0,0,0,0,0,Comida Ecuatoriana,Comida Ecuatoriana,No posee,0, LA ESQUINA ZARUMEÑA __3,FALSE,2022,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
 LA LEYENDA CAFÉ CONCIERTO,"Chile 1270 Benalcázar, Quito, Ecuador",-0.219100786,-78.51273949,respaldo_R_S,0.1578480204704166,FALSE,,0,0,0,0,0,0,0,0,0,Cafetería,Cafetería,No posee,0, LA LEYENDA CAFÉ CONCIERTO__4,FALSE,2012,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
 LA TRADICIÓN,"MONTUFAR N1-88 N2 DE LOS MILAGROS, Quito, Ecuador",-0.2208816,-78.5102829,primaria_C_D,0.2501534459338821,TRUE,2.1,203,5.318119993844216,0,0,0,0,0,0,0,Tradicional,Tradicional,No posee,0, LA TRADICIÓN__5,FALSE,2013,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
 RESTAURANTE VIVIANA DEL CENTRO ,"MEJIA OE 1-55 FLORES, Quito, Ecuador",-0.2207456,-78.5108337,primaria_C_D,0.1872845385785365,TRUE,0,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0, RESTAURANTE VIVIANA DEL CENTRO __6,FALSE,2022,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
 SANTA ELENA " RESTAURANTE","MORALES S1-73 GUAYAQUIL, Quito, Ecuador",-0.222704171,-78.51616404,primaria_C_D,0.47545887158445105,TRUE,3.1,7,2.0794415416798357,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0, SANTA ELENA " RESTAURANTE"__7,FALSE,2008,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
"¡Hasta la Vuelta!, Señor","MEJIA OE6-43 BENALCAZAR, Quito, Ecuador",-0.2179924,-78.5097485,primaria_C_D,0.41394839805434286,TRUE,4.4,1740,7.462214939768189,1,16300,9.69898173460629,1,11100,9.314790473332646,34400,Nuevo Tradicional,Nuevo Tradicional,No posee,0,"¡Hasta la Vuelta!, Señor__8",FALSE,2007,PRIMERA / 4 TENEDORES,hastalavueltasenor,https://www.instagram.com/hastalavueltasenor/?__d=undefined,@hastalavueltasenor,https://www.tiktok.com/@hastalavueltasenor
ABATURC SPORT,"MANABÍ OE1-42 FLORES, Quito, Ecuador",-0.2243446,-78.5137767,respaldo_R_S,0.45045457966341035,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,ABATURC SPORT__9,FALSE,2023,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
ABU MUNIR,"N11 JOSE ANTEPARA E4-85 E5 LOS RIOS, Quito, Ecuador",-0.2253545,-78.5094293,respaldo_R_S,0.6387200162463044,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,ABU MUNIR__10,FALSE,2024,CUARTA / 1 TENEDOR,No tiene,0,No tiene,0
AL PASO,"VICENTE ROCAFUERTE e1-58 montúfar, Quito, Ecuador",-0.2213737,-78.5056581,respaldo_R_S,0.7669568904745075,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,AL PASO__11,FALSE,2024,CUARTA / 1 TENEDOR,No tiene,0,No tiene,0
ALBAN ARELLANO ALEX JUAN,"AV. PICHINCHA E3-290 sucre, Quito, Ecuador",-0.230993105,-78.51345377,respaldo_R_S,1.171589954494273,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,ALBAN ARELLANO ALEX JUAN__12,FALSE,2023,CUARTA / 1 TENEDOR,No tiene,0,No tiene,0
ALCIVAR CEDEÑO CELIA CELINDA,"PICHINCHA N1-632 SUCRE, Quito, Ecuador",-0.221408868,-78.52218367,respaldo_R_S,1.0814992064377644,FALSE,,0,0,0,0,0,0,0,0,0,Desconocido,Otro,No posee,0,ALCIVAR CEDEÑO CELIA CELINDA__13,FALSE,2024,CUARTA / 1 TENEDOR,No tiene,0,No tiene,0
ALGA PESCA,"GARCIA MORENO N7-68 MANABI, Quito, Ecuador",-0.2183376,-78.5090367,primaria_C_D,0.45400011267107115,TRUE,4.8,141,4.955827057601261,0,0,0,0,0,0,0,Comida Ecuatoriana,Comida Ecuatoriana,No posee,0,ALGA PESCA__14,FALSE,2024,SEGUNDA / 3 TENEDORES,No tiene,0,No tiene,0
ANDES BREW PUB,"CUENCA S1-12 AV 24 DE MAYI, Quito, Ecuador",-0.218562,-78.5094166,primaria_C_D,0.4049550689970033,TRUE,4.8,1306,7.175489713624222,1,29000,10.275085591132715,1,33,3.5263605246161616,13,Bar,Bar,Franquicia,1,ANDES BREW PUB,FALSE,2023,SEGUNDA / 3 TENEDORES,andesbrewing,https://www.instagram.com/andesbrewing/,@andesbrewing.uio,https://www.tiktok.com/@andesbrewing.uio
